listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,skip,1.365586,1.365586,0.000000,0.000000,0.000000,0.665740,3113
az,fi,skip,3.696248,1.452437,2.243811,2.162759,2.327386,0.747368,3195
az,kk,skip,3.573248,1.430593,2.142656,2.048508,2.226991,0.621222,2980
az,ky,skip,3.372623,1.367206,2.005417,1.924894,2.075735,0.702713,3522
az,tr,skip,2.868874,1.361487,1.507387,1.410314,1.595232,0.743511,3609
az,ug,skip,3.129914,1.509216,1.620698,1.532772,1.716526,0.718269,3967
az,uz,skip,3.496512,1.334966,2.161546,2.062443,2.253904,0.701559,3284
fi,az,skip,3.735439,1.365586,2.369853,2.248663,2.486329,0.665740,3113
fi,fi,skip,1.452437,1.452437,0.000000,0.000000,0.000000,0.747368,3195
fi,kk,skip,3.406197,1.430593,1.975604,1.883933,2.063743,0.621222,2980
fi,ky,skip,3.496170,1.367206,2.128964,2.051082,2.197002,0.702713,3522
fi,tr,skip,3.472396,1.361487,2.110909,2.013012,2.201664,0.743511,3609
fi,ug,skip,3.665543,1.509216,2.156327,2.026539,2.298276,0.718269,3967
fi,uz,skip,3.689100,1.334966,2.354134,2.237387,2.456900,0.701559,3284
kk,az,skip,3.748413,1.365586,2.382827,2.286814,2.470536,0.665740,3113
kk,fi,skip,3.695255,1.452437,2.242818,2.154473,2.328317,0.747368,3195
kk,kk,skip,1.430593,1.430593,0.000000,0.000000,0.000000,0.621222,2980
kk,ky,skip,3.269733,1.367206,1.902527,1.836548,1.966126,0.702713,3522
kk,tr,skip,3.519255,1.361487,2.157767,2.088292,2.220818,0.743511,3609
kk,ug,skip,3.541232,1.509216,2.032015,1.936949,2.129548,0.718269,3967
kk,uz,skip,3.555891,1.334966,2.220925,2.124015,2.320311,0.701559,3284
ky,az,skip,3.660233,1.365586,2.294647,2.141260,2.440847,0.665740,3113
ky,fi,skip,3.911431,1.452437,2.458993,2.346629,2.576783,0.747368,3195
ky,kk,skip,2.829324,1.430593,1.398731,1.273540,1.518059,0.621222,2980
ky,ky,skip,1.367206,1.367206,0.000000,0.000000,0.000000,0.702713,3522
ky,tr,skip,3.415416,1.361487,2.053928,1.970894,2.120006,0.743511,3609
ky,ug,skip,3.280302,1.509216,1.771086,1.651281,1.904927,0.718269,3967
ky,uz,skip,3.323249,1.334966,1.988283,1.873073,2.095693,0.701559,3284
tr,az,skip,2.946440,1.365586,1.580854,1.432286,1.719482,0.665740,3113
tr,fi,skip,3.577620,1.452437,2.125182,2.017047,2.236723,0.747368,3195
tr,kk,skip,3.323700,1.430593,1.893108,1.821381,1.971051,0.621222,2980
tr,ky,skip,3.139050,1.367206,1.771844,1.684771,1.852115,0.702713,3522
tr,tr,skip,1.361487,1.361487,0.000000,0.000000,0.000000,0.743511,3609
tr,ug,skip,3.275198,1.509216,1.765981,1.684016,1.851643,0.718269,3967
tr,uz,skip,3.543033,1.334966,2.208067,2.105368,2.305208,0.701559,3284
ug,az,skip,3.214262,1.365586,1.848676,1.776421,1.925379,0.665740,3113
ug,fi,skip,4.044309,1.452437,2.591872,2.474612,2.714765,0.747368,3195
ug,kk,skip,3.387248,1.430593,1.956655,1.857481,2.069188,0.621222,2980
ug,ky,skip,3.302360,1.367206,1.935154,1.848733,2.018659,0.702713,3522
ug,tr,skip,3.405659,1.361487,2.044171,1.953605,2.132614,0.743511,3609
ug,ug,skip,1.509216,1.509216,0.000000,0.000000,0.000000,0.718269,3967
ug,uz,skip,2.882258,1.334966,1.547292,1.452383,1.648580,0.701559,3284
uz,az,skip,3.552173,1.365586,2.186588,2.118756,2.258229,0.665740,3113
uz,fi,skip,3.963866,1.452437,2.511428,2.369975,2.658987,0.747368,3195
uz,kk,skip,3.736816,1.430593,2.306223,2.219595,2.384289,0.621222,2980
uz,ky,skip,3.714280,1.367206,2.347074,2.280896,2.415391,0.702713,3522
uz,tr,skip,3.642784,1.361487,2.281297,2.208192,2.349485,0.743511,3609
uz,ug,skip,2.923142,1.509216,1.413925,1.319765,1.525468,0.718269,3967
uz,uz,skip,1.334966,1.334966,0.000000,0.000000,0.000000,0.701559,3284
