listener,missing,replacement,distance,n_occurrences
az,a,æ,2,623
az,q,k,1,404
az,ø,e,1,134
az,ə,e,2,318
az,ɵ,o,2,38
az,ʁ,ɣ,1,146
az,ʊ,o,2,35
az,ʋ,l,2,126
fi,a,æ,2,623
fi,q,k,1,404
fi,v,f,1,171
fi,w,j,1,54
fi,x,ç,1,70
fi,z,s,1,519
fi,œ,ø,2,24
fi,ɔ,o,2,176
fi,ə,e,2,318
fi,ɟ,ɡ,1,34
fi,ɣ,ç,2,23
fi,ɪ,e,2,254
fi,ɯ,u,1,551
fi,ɵ,o,2,38
fi,ʁ,h,3,146
fi,ʊ,o,2,35
fi,ʏ,y,2,54
fi,ʒ,ʃ,1,276
fi,χ,h,2,31
kk,œ,ø,2,24
kk,ɔ,o,2,176
kk,ɟ,c,1,34
kk,ɣ,x,1,23
kk,ɯ,u,1,551
kk,ʋ,l,2,126
ky,æ,a,2,1024
ky,œ,ø,2,24
ky,ɔ,o,2,176
ky,ɟ,c,1,34
ky,ɣ,x,1,23
ky,ʋ,l,2,126
ky,χ,x,1,31
tr,a,æ,2,623
tr,ŋ,n,3,283
tr,ɔ,o,2,176
tr,ɟ,ɡ,1,34
tr,ɣ,x,1,23
tr,ɪ,e,2,254
tr,ɵ,ə,1,38
tr,ʁ,x,2,146
tr,ʊ,o,2,35
tr,ʋ,l,2,126
tr,ʏ,y,2,54
tr,χ,x,1,31
ug,œ,ø,2,24
ug,ɔ,o,2,176
ug,ɟ,c,1,34
ug,ɣ,x,1,23
ug,ɪ,e,2,254
ug,ɯ,u,1,551
ug,ɵ,ə,1,38
ug,ʊ,o,2,35
ug,ʋ,l,2,126
ug,ʏ,y,2,54
uz,y,i,1,441
uz,œ,ɛ,1,24
uz,ɑ,ɒ,1,2575
uz,ɟ,c,1,34
uz,ɪ,e,2,254
uz,ɯ,u,1,551
uz,ɵ,ə,1,38
uz,ʋ,l,2,126
uz,ʏ,ø,2,54
