listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,trigram-skip,2.186764,2.186764,0.000000,0.000000,0.000000,0.693114,3241
az,kk,trigram-skip,3.781862,2.436543,1.345319,1.257167,1.426228,0.646863,3103
az,ky,trigram-skip,3.103324,2.139477,0.963847,0.897096,1.035687,0.738880,3588
az,tr,trigram-skip,2.680745,2.085979,0.594765,0.552333,0.635476,0.767408,3725
az,ug,trigram-skip,2.878254,2.212418,0.665836,0.614061,0.721262,0.757378,4183
az,uz,trigram-skip,3.761169,2.155858,1.605311,1.524191,1.686249,0.751762,3519
fi,az,trigram-skip,3.952609,2.186764,1.765846,1.664547,1.885979,0.693114,3241
fi,kk,trigram-skip,4.185228,2.436543,1.748685,1.652532,1.838957,0.646863,3103
fi,ky,trigram-skip,3.806080,2.139477,1.666603,1.595662,1.733803,0.738880,3588
fi,tr,trigram-skip,3.750657,2.085979,1.664677,1.570411,1.757187,0.767408,3725
fi,ug,trigram-skip,3.672320,2.212418,1.459902,1.390681,1.532552,0.757378,4183
fi,uz,trigram-skip,4.545638,2.155858,2.389780,2.298572,2.473619,0.751762,3519
kk,az,trigram-skip,3.683299,2.186764,1.496535,1.442800,1.547041,0.693114,3241
kk,kk,trigram-skip,2.436543,2.436543,0.000000,0.000000,0.000000,0.646863,3103
kk,ky,trigram-skip,3.504649,2.139477,1.365172,1.297675,1.431160,0.738880,3588
kk,tr,trigram-skip,3.445624,2.085979,1.359644,1.278612,1.437019,0.767408,3725
kk,ug,trigram-skip,3.534786,2.212418,1.322368,1.281810,1.361903,0.757378,4183
kk,uz,trigram-skip,3.833144,2.155858,1.677286,1.612276,1.740421,0.751762,3519
ky,az,trigram-skip,3.526610,2.186764,1.339846,1.259663,1.417518,0.693114,3241
ky,kk,trigram-skip,3.116840,2.436543,0.680297,0.613510,0.740449,0.646863,3103
ky,ky,trigram-skip,2.139477,2.139477,0.000000,0.000000,0.000000,0.738880,3588
ky,tr,trigram-skip,2.770401,2.085979,0.684422,0.646607,0.724525,0.767408,3725
ky,ug,trigram-skip,3.201673,2.212418,0.989256,0.913458,1.060812,0.757378,4183
ky,uz,trigram-skip,3.267046,2.155858,1.111188,1.056707,1.166414,0.751762,3519
tr,az,trigram-skip,3.099951,2.186764,0.913187,0.832536,0.984890,0.693114,3241
tr,kk,trigram-skip,3.628405,2.436543,1.191862,1.112209,1.270351,0.646863,3103
tr,ky,trigram-skip,2.737404,2.139477,0.597927,0.552184,0.643783,0.738880,3588
tr,tr,trigram-skip,2.085979,2.085979,0.000000,0.000000,0.000000,0.767408,3725
tr,ug,trigram-skip,3.061154,2.212418,0.848736,0.788334,0.906731,0.757378,4183
tr,uz,trigram-skip,3.695750,2.155858,1.539892,1.463242,1.618963,0.751762,3519
ug,az,trigram-skip,2.986758,2.186764,0.799994,0.743464,0.853764,0.693114,3241
ug,kk,trigram-skip,3.576981,2.436543,1.140438,1.059487,1.220541,0.646863,3103
ug,ky,trigram-skip,3.187195,2.139477,1.047718,1.000761,1.097817,0.738880,3588
ug,tr,trigram-skip,3.151901,2.085979,1.065922,1.002419,1.125580,0.767408,3725
ug,ug,trigram-skip,2.212418,2.212418,0.000000,0.000000,0.000000,0.757378,4183
ug,uz,trigram-skip,2.947261,2.155858,0.791403,0.730450,0.852505,0.751762,3519
uz,az,trigram-skip,3.927310,2.186764,1.740547,1.690666,1.793225,0.693114,3241
uz,kk,trigram-skip,4.204810,2.436543,1.768267,1.678048,1.858701,0.646863,3103
uz,ky,trigram-skip,3.921722,2.139477,1.782245,1.705641,1.859474,0.738880,3588
uz,tr,trigram-skip,3.586716,2.085979,1.500737,1.405186,1.585772,0.767408,3725
uz,ug,trigram-skip,3.208884,2.212418,0.996467,0.930318,1.069195,0.757378,4183
uz,uz,trigram-skip,2.155858,2.155858,0.000000,0.000000,0.000000,0.751762,3519
