listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,skip,1.345383,1.345383,0.000000,0.000000,0.000000,0.665954,3114
az,fi,skip,3.602921,1.423130,2.179791,2.098458,2.260365,0.747602,3196
az,kk,skip,3.349712,1.404295,1.945417,1.843428,2.048714,0.621430,2981
az,ky,skip,3.396076,1.341375,2.054700,1.966155,2.136435,0.702913,3523
az,tr,skip,2.878391,1.347251,1.531140,1.436237,1.618932,0.743717,3610
az,ug,skip,3.221275,1.427346,1.793929,1.712711,1.884056,0.718450,3968
az,uz,skip,3.400464,1.311162,2.089302,1.994399,2.173587,0.703055,3291
fi,az,skip,3.691129,1.345383,2.345746,2.243578,2.440088,0.665954,3114
fi,fi,skip,1.423130,1.423130,0.000000,0.000000,0.000000,0.747602,3196
fi,kk,skip,3.373620,1.404295,1.969325,1.895024,2.044002,0.621430,2981
fi,ky,skip,3.465369,1.341375,2.123994,2.070465,2.174299,0.702913,3523
fi,tr,skip,3.465129,1.347251,2.117879,2.028386,2.203159,0.743717,3610
fi,ug,skip,3.570173,1.427346,2.142827,2.027524,2.262120,0.718450,3968
fi,uz,skip,3.473447,1.311162,2.162285,2.077547,2.250456,0.703055,3291
kk,az,skip,3.687377,1.345383,2.341994,2.240283,2.440066,0.665954,3114
kk,fi,skip,3.737098,1.423130,2.313968,2.225489,2.399666,0.747602,3196
kk,kk,skip,1.404295,1.404295,0.000000,0.000000,0.000000,0.621430,2981
kk,ky,skip,3.090053,1.341375,1.748678,1.685500,1.804953,0.702913,3523
kk,tr,skip,3.419992,1.347251,2.072742,1.988695,2.153210,0.743717,3610
kk,ug,skip,3.595298,1.427346,2.167952,2.067621,2.261897,0.718450,3968
kk,uz,skip,3.591469,1.311162,2.280307,2.179565,2.374394,0.703055,3291
ky,az,skip,3.534967,1.345383,2.189584,2.056063,2.321853,0.665954,3114
ky,fi,skip,3.861429,1.423130,2.438299,2.333410,2.546287,0.747602,3196
ky,kk,skip,2.768002,1.404295,1.363707,1.244453,1.466624,0.621430,2981
ky,ky,skip,1.341375,1.341375,0.000000,0.000000,0.000000,0.702913,3523
ky,tr,skip,3.370532,1.347251,2.023281,1.920300,2.137408,0.743717,3610
ky,ug,skip,3.266260,1.427346,1.838915,1.746623,1.943156,0.718450,3968
ky,uz,skip,3.432547,1.311162,2.121385,2.024286,2.216671,0.703055,3291
tr,az,skip,2.711329,1.345383,1.365947,1.242342,1.488310,0.665954,3114
tr,fi,skip,3.462054,1.423130,2.038924,1.923098,2.153153,0.747602,3196
tr,kk,skip,3.183565,1.404295,1.779270,1.689069,1.875244,0.621430,2981
tr,ky,skip,3.081386,1.341375,1.740011,1.658066,1.818919,0.702913,3523
tr,tr,skip,1.347251,1.347251,0.000000,0.000000,0.000000,0.743717,3610
tr,ug,skip,3.110914,1.427346,1.683568,1.596759,1.772026,0.718450,3968
tr,uz,skip,3.350614,1.311162,2.039451,1.936880,2.138843,0.703055,3291
ug,az,skip,3.165341,1.345383,1.819958,1.732300,1.909823,0.665954,3114
ug,fi,skip,3.824191,1.423130,2.401061,2.314059,2.488788,0.747602,3196
ug,kk,skip,3.313232,1.404295,1.908938,1.798575,2.027260,0.621430,2981
ug,ky,skip,3.261678,1.341375,1.920302,1.840249,2.012972,0.702913,3523
ug,tr,skip,3.373348,1.347251,2.026097,1.948078,2.102503,0.743717,3610
ug,ug,skip,1.427346,1.427346,0.000000,0.000000,0.000000,0.718450,3968
ug,uz,skip,2.991477,1.311162,1.680315,1.588135,1.769041,0.703055,3291
uz,az,skip,3.470222,1.345383,2.124839,2.046146,2.207295,0.665954,3114
uz,fi,skip,3.696435,1.423130,2.273305,2.146720,2.386140,0.747602,3196
uz,kk,skip,3.378730,1.404295,1.974435,1.904473,2.059143,0.621430,2981
uz,ky,skip,3.429649,1.341375,2.088274,2.032168,2.146078,0.702913,3523
uz,tr,skip,3.444732,1.347251,2.097482,2.027377,2.157644,0.743717,3610
uz,ug,skip,2.943595,1.427346,1.516249,1.414380,1.622181,0.718450,3968
uz,uz,skip,1.311162,1.311162,0.000000,0.000000,0.000000,0.703055,3291
