listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,skip,1.349453,1.349453,0.000000,0.000000,0.000000,0.658505,3012
az,fi,skip,3.621346,1.412716,2.208630,2.129631,2.276958,0.740687,3082
az,kk,skip,3.329061,1.381398,1.947663,1.834051,2.055274,0.612711,2873
az,ky,skip,3.314236,1.260231,2.054005,1.969162,2.130688,0.694313,3382
az,tr,skip,2.875185,1.356687,1.518498,1.411776,1.613046,0.738326,3510
az,ug,skip,3.097990,1.375441,1.722548,1.643278,1.800179,0.712197,3848
az,uz,skip,3.377537,1.264224,2.113312,1.982675,2.241389,0.696904,3196
fi,az,skip,3.556200,1.349453,2.206748,2.094201,2.309500,0.658505,3012
fi,fi,skip,1.412716,1.412716,0.000000,0.000000,0.000000,0.740687,3082
fi,kk,skip,3.222591,1.381398,1.841193,1.747946,1.929031,0.612711,2873
fi,ky,skip,3.389339,1.260231,2.129108,2.062235,2.195883,0.694313,3382
fi,tr,skip,3.399128,1.356687,2.042441,1.955450,2.117798,0.738326,3510
fi,ug,skip,3.448644,1.375441,2.073202,1.969070,2.183744,0.712197,3848
fi,uz,skip,3.401521,1.264224,2.137296,2.041453,2.228228,0.696904,3196
kk,az,skip,3.612803,1.349453,2.263351,2.143114,2.371775,0.658505,3012
kk,fi,skip,3.758111,1.412716,2.345395,2.242457,2.452577,0.740687,3082
kk,kk,skip,1.381398,1.381398,0.000000,0.000000,0.000000,0.612711,2873
kk,ky,skip,3.048479,1.260231,1.788249,1.713432,1.870769,0.694313,3382
kk,tr,skip,3.444760,1.356687,2.088073,2.008535,2.169385,0.738326,3510
kk,ug,skip,3.613941,1.375441,2.238500,2.148537,2.335203,0.712197,3848
kk,uz,skip,3.577200,1.264224,2.312975,2.236395,2.386495,0.696904,3196
ky,az,skip,3.630334,1.349453,2.280881,2.150245,2.407835,0.658505,3012
ky,fi,skip,3.817390,1.412716,2.404674,2.298992,2.521119,0.740687,3082
ky,kk,skip,2.736696,1.381398,1.355298,1.249996,1.452127,0.612711,2873
ky,ky,skip,1.260231,1.260231,0.000000,0.000000,0.000000,0.694313,3382
ky,tr,skip,3.340302,1.356687,1.983615,1.880100,2.084364,0.738326,3510
ky,ug,skip,3.339767,1.375441,1.964326,1.832541,2.096376,0.712197,3848
ky,uz,skip,3.280747,1.264224,2.016522,1.930536,2.100400,0.696904,3196
tr,az,skip,2.730325,1.349453,1.380872,1.249509,1.512064,0.658505,3012
tr,fi,skip,3.474276,1.412716,2.061561,1.957090,2.161002,0.740687,3082
tr,kk,skip,3.107877,1.381398,1.726479,1.643460,1.810204,0.612711,2873
tr,ky,skip,2.993345,1.260231,1.733115,1.646119,1.813112,0.694313,3382
tr,tr,skip,1.356687,1.356687,0.000000,0.000000,0.000000,0.738326,3510
tr,ug,skip,3.124745,1.375441,1.749304,1.657799,1.840400,0.712197,3848
tr,uz,skip,3.312161,1.264224,2.047937,1.950094,2.145498,0.696904,3196
ug,az,skip,3.003060,1.349453,1.653608,1.559224,1.740810,0.658505,3012
ug,fi,skip,3.765892,1.412716,2.353176,2.235279,2.461998,0.740687,3082
ug,kk,skip,2.976944,1.381398,1.595546,1.500924,1.708183,0.612711,2873
ug,ky,skip,2.993555,1.260231,1.733324,1.646546,1.812173,0.694313,3382
ug,tr,skip,3.183502,1.356687,1.826815,1.753610,1.906873,0.738326,3510
ug,ug,skip,1.375441,1.375441,0.000000,0.000000,0.000000,0.712197,3848
ug,uz,skip,2.849136,1.264224,1.584911,1.503177,1.660879,0.696904,3196
uz,az,skip,3.286365,1.349453,1.936913,1.859074,2.016316,0.658505,3012
uz,fi,skip,3.691720,1.412716,2.279004,2.169549,2.387981,0.740687,3082
uz,kk,skip,3.183450,1.381398,1.802052,1.716462,1.881862,0.612711,2873
uz,ky,skip,3.270874,1.260231,2.010643,1.952265,2.073936,0.694313,3382
uz,tr,skip,3.275084,1.356687,1.918397,1.845836,1.990942,0.738326,3510
uz,ug,skip,2.748661,1.375441,1.373219,1.293865,1.446281,0.712197,3848
uz,uz,skip,1.264224,1.264224,0.000000,0.000000,0.000000,0.696904,3196
