"listener_language","text_language","lang_pair","cophenetic_distance","cross_entropy","native_cross_entropy","excess_cross_entropy","excess_confidence_interval_low","excess_confidence_interval_high","fraction_of_positions_scored","number_of_positions_scored"
"az","az","az_az","na",1.347707,1.347707,0,0,0,0.643636,3009
"az","fi","az_fi","na",3.731249,1.342827,2.388422,2.30901,2.464216,0.720702,3081
"az","kk","az_kk","10",3.632015,1.290523,2.341492,2.231097,2.446217,0.597871,2865
"az","ky","az_ky","9",3.356254,1.305788,2.050466,1.970601,2.12444,0.677025,3377
"az","tr","az_tr","2",2.975525,1.186999,1.788526,1.698803,1.876345,0.730641,3510
"az","ug","az_ug","7",3.243261,1.238809,2.004452,1.922477,2.090326,0.702614,3844
"az","uz","az_uz","7",3.593023,1.215005,2.378018,2.262851,2.497041,0.681643,3186
"fi","az","fi_az","na",3.554319,1.347707,2.206612,2.079308,2.326432,0.643636,3009
"fi","fi","fi_fi","na",1.342827,1.342827,0,0,0,0.720702,3081
"fi","kk","fi_kk","na",3.174474,1.290523,1.88395,1.808439,1.956206,0.597871,2865
"fi","ky","fi_ky","na",3.33583,1.305788,2.030043,1.964149,2.095951,0.677025,3377
"fi","tr","fi_tr","na",3.350528,1.186999,2.163528,2.081111,2.23726,0.730641,3510
"fi","ug","fi_ug","na",3.395558,1.238809,2.156749,2.065759,2.249895,0.702614,3844
"fi","uz","fi_uz","na",3.40744,1.215005,2.192435,2.09903,2.283456,0.681643,3186
"kk","az","kk_az","10",3.367494,1.347707,2.019787,1.869214,2.14681,0.643636,3009
"kk","fi","kk_fi","na",3.574588,1.342827,2.231761,2.152254,2.310846,0.720702,3081
"kk","kk","kk_kk","na",1.290523,1.290523,0,0,0,0.597871,2865
"kk","ky","kk_ky","2",2.895243,1.305788,1.589456,1.505643,1.662518,0.677025,3377
"kk","tr","kk_tr","11",3.382029,1.186999,2.19503,2.095138,2.301909,0.730641,3510
"kk","ug","kk_ug","6",3.26614,1.238809,2.027332,1.962804,2.095028,0.702614,3844
"kk","uz","kk_uz","6",3.38239,1.215005,2.167385,2.087118,2.246131,0.681643,3186
"ky","az","ky_az","9",3.690381,1.347707,2.342674,2.205267,2.47553,0.643636,3009
"ky","fi","ky_fi","na",4.070097,1.342827,2.727269,2.610986,2.843914,0.720702,3081
"ky","kk","ky_kk","2",2.927164,1.290523,1.636641,1.524165,1.741719,0.597871,2865
"ky","ky","ky_ky","na",1.305788,1.305788,0,0,0,0.677025,3377
"ky","tr","ky_tr","10",3.466918,1.186999,2.279919,2.168042,2.388081,0.730641,3510
"ky","ug","ky_ug","5",3.460567,1.238809,2.221758,2.132388,2.305981,0.702614,3844
"ky","uz","ky_uz","5",3.63233,1.215005,2.417325,2.300855,2.533897,0.681643,3186
"tr","az","tr_az","2",2.654663,1.347707,1.306956,1.188888,1.421423,0.643636,3009
"tr","fi","tr_fi","na",3.471057,1.342827,2.12823,2.01612,2.236524,0.720702,3081
"tr","kk","tr_kk","11",3.050598,1.290523,1.760074,1.669313,1.836519,0.597871,2865
"tr","ky","tr_ky","10",2.984559,1.305788,1.678771,1.572354,1.775334,0.677025,3377
"tr","tr","tr_tr","na",1.186999,1.186999,0,0,0,0.730641,3510
"tr","ug","tr_ug","8",3.066758,1.238809,1.82795,1.721216,1.929152,0.702614,3844
"tr","uz","tr_uz","8",3.184336,1.215005,1.969331,1.875557,2.060591,0.681643,3186
"ug","az","ug_az","7",3.166873,1.347707,1.819166,1.734491,1.902817,0.643636,3009
"ug","fi","ug_fi","na",3.821535,1.342827,2.478708,2.361946,2.594877,0.720702,3081
"ug","kk","ug_kk","6",3.371781,1.290523,2.081257,1.957265,2.209445,0.597871,2865
"ug","ky","ug_ky","5",3.195133,1.305788,1.889346,1.81524,1.967958,0.677025,3377
"ug","tr","ug_tr","8",3.442721,1.186999,2.255722,2.171482,2.350452,0.730641,3510
"ug","ug","ug_ug","na",1.238809,1.238809,0,0,0,0.702614,3844
"ug","uz","ug_uz","1",3.147226,1.215005,1.932221,1.78947,2.068049,0.681643,3186
"uz","az","uz_az","7",3.17138,1.347707,1.823673,1.741325,1.898974,0.643636,3009
"uz","fi","uz_fi","na",3.541833,1.342827,2.199005,2.106334,2.29527,0.720702,3081
"uz","kk","uz_kk","6",3.150152,1.290523,1.859629,1.769905,1.944985,0.597871,2865
"uz","ky","uz_ky","5",3.274103,1.305788,1.968315,1.884907,2.050146,0.677025,3377
"uz","tr","uz_tr","8",3.34566,1.186999,2.158661,2.074766,2.245793,0.730641,3510
"uz","ug","uz_ug","1",2.599605,1.238809,1.360797,1.297833,1.416811,0.702614,3844
"uz","uz","uz_uz","na",1.215005,1.215005,0,0,0,0.681643,3186
