listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,assimilate,2.111534,2.111534,0.000000,0.000000,0.000000,1.000000,4675
az,fi,assimilate,7.027398,2.423586,4.603812,4.318308,4.862509,1.000000,4275
az,kk,assimilate,7.325667,2.170774,5.154893,4.822493,5.505593,1.000000,4792
az,ky,assimilate,5.020508,2.112372,2.908136,2.671059,3.174315,1.000000,4988
az,tr,assimilate,3.574207,1.899054,1.675153,1.598983,1.756833,1.000000,4804
az,ug,assimilate,4.536265,1.773972,2.762293,2.607870,2.919311,1.000000,5471
az,uz,assimilate,5.823401,1.978512,3.844889,3.616781,4.076953,1.000000,4674
fi,az,assimilate,5.501164,2.111534,3.389631,3.197227,3.590301,1.000000,4675
fi,fi,assimilate,2.423586,2.423586,0.000000,0.000000,0.000000,1.000000,4275
fi,kk,assimilate,4.300632,2.170774,2.129859,2.047489,2.203745,1.000000,4792
fi,ky,assimilate,5.414523,2.112372,3.302151,3.124518,3.464497,1.000000,4988
fi,tr,assimilate,4.973616,1.899054,3.074562,2.873080,3.266936,1.000000,4804
fi,ug,assimilate,4.597672,1.773972,2.823701,2.641851,3.011087,1.000000,5471
fi,uz,assimilate,5.450666,1.978512,3.472154,3.290920,3.658058,1.000000,4674
kk,az,assimilate,5.649975,2.111534,3.538442,3.291332,3.779466,1.000000,4675
kk,fi,assimilate,5.965051,2.423586,3.541465,3.362744,3.702760,1.000000,4275
kk,kk,assimilate,2.170774,2.170774,0.000000,0.000000,0.000000,1.000000,4792
kk,ky,assimilate,5.627843,2.112372,3.515471,3.045588,3.986730,1.000000,4988
kk,tr,assimilate,4.640832,1.899054,2.741778,2.596167,2.880473,1.000000,4804
kk,ug,assimilate,4.327050,1.773972,2.553079,2.372101,2.728569,1.000000,5471
kk,uz,assimilate,7.917384,1.978512,5.938872,5.603570,6.272205,1.000000,4674
ky,az,assimilate,7.428278,2.111534,5.316744,5.000405,5.639051,1.000000,4675
ky,fi,assimilate,6.666644,2.423586,4.243058,4.026154,4.415258,1.000000,4275
ky,kk,assimilate,7.866949,2.170774,5.696176,5.386264,5.986641,1.000000,4792
ky,ky,assimilate,2.112372,2.112372,0.000000,0.000000,0.000000,1.000000,4988
ky,tr,assimilate,4.020745,1.899054,2.121691,1.997514,2.244386,1.000000,4804
ky,ug,assimilate,6.185580,1.773972,4.411608,4.109022,4.692234,1.000000,5471
ky,uz,assimilate,8.410803,1.978512,6.432290,6.010856,6.815890,1.000000,4674
tr,az,assimilate,6.885411,2.111534,4.773877,4.415077,5.102421,1.000000,4675
tr,fi,assimilate,5.998698,2.423586,3.575112,3.370100,3.755771,1.000000,4275
tr,kk,assimilate,7.913737,2.170774,5.742964,5.459738,6.031561,1.000000,4792
tr,ky,assimilate,3.678625,2.112372,1.566253,1.466914,1.661794,1.000000,4988
tr,tr,assimilate,1.899054,1.899054,0.000000,0.000000,0.000000,1.000000,4804
tr,ug,assimilate,7.050890,1.773972,5.276918,5.032075,5.503534,1.000000,5471
tr,uz,assimilate,8.750917,1.978512,6.772404,6.372624,7.143881,1.000000,4674
ug,az,assimilate,4.706919,2.111534,2.595385,2.432984,2.764716,1.000000,4675
ug,fi,assimilate,6.770072,2.423586,4.346486,4.087251,4.589350,1.000000,4275
ug,kk,assimilate,6.741050,2.170774,4.570276,4.296780,4.837955,1.000000,4792
ug,ky,assimilate,4.485381,2.112372,2.373009,2.203381,2.567596,1.000000,4988
ug,tr,assimilate,4.326049,1.899054,2.426996,2.333264,2.509367,1.000000,4804
ug,ug,assimilate,1.773972,1.773972,0.000000,0.000000,0.000000,1.000000,5471
ug,uz,assimilate,7.775286,1.978512,5.796774,5.444556,6.119825,1.000000,4674
uz,az,assimilate,9.314063,2.111534,7.202529,6.967290,7.452899,1.000000,4675
uz,fi,assimilate,10.047222,2.423586,7.623636,7.284372,7.898962,1.000000,4275
uz,kk,assimilate,9.973779,2.170774,7.803006,7.462296,8.149517,1.000000,4792
uz,ky,assimilate,7.411746,2.112372,5.299374,5.023318,5.565333,1.000000,4988
uz,tr,assimilate,6.914603,1.899054,5.015550,4.783611,5.224599,1.000000,4804
uz,ug,assimilate,7.543835,1.773972,5.769863,5.543673,6.025939,1.000000,5471
uz,uz,assimilate,1.978512,1.978512,0.000000,0.000000,0.000000,1.000000,4674
