listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,skip,1.347707,1.347707,0.000000,0.000000,0.000000,0.643636,3009
az,fi,skip,3.731249,1.342827,2.388422,2.309010,2.464216,0.720702,3081
az,kk,skip,3.632015,1.290523,2.341492,2.231097,2.446217,0.597871,2865
az,ky,skip,3.356254,1.305788,2.050466,1.970601,2.124440,0.677025,3377
az,tr,skip,2.975525,1.186999,1.788526,1.698803,1.876345,0.730641,3510
az,ug,skip,3.243261,1.238809,2.004452,1.922477,2.090326,0.702614,3844
az,uz,skip,3.593023,1.215005,2.378018,2.262851,2.497041,0.681643,3186
fi,az,skip,3.554319,1.347707,2.206612,2.079308,2.326432,0.643636,3009
fi,fi,skip,1.342827,1.342827,0.000000,0.000000,0.000000,0.720702,3081
fi,kk,skip,3.174474,1.290523,1.883950,1.808439,1.956206,0.597871,2865
fi,ky,skip,3.335830,1.305788,2.030043,1.964149,2.095951,0.677025,3377
fi,tr,skip,3.350528,1.186999,2.163528,2.081111,2.237260,0.730641,3510
fi,ug,skip,3.395558,1.238809,2.156749,2.065759,2.249895,0.702614,3844
fi,uz,skip,3.407440,1.215005,2.192435,2.099030,2.283456,0.681643,3186
kk,az,skip,3.367494,1.347707,2.019787,1.869214,2.146810,0.643636,3009
kk,fi,skip,3.574588,1.342827,2.231761,2.152254,2.310846,0.720702,3081
kk,kk,skip,1.290523,1.290523,0.000000,0.000000,0.000000,0.597871,2865
kk,ky,skip,2.895243,1.305788,1.589456,1.505643,1.662518,0.677025,3377
kk,tr,skip,3.382029,1.186999,2.195030,2.095138,2.301909,0.730641,3510
kk,ug,skip,3.266140,1.238809,2.027332,1.962804,2.095028,0.702614,3844
kk,uz,skip,3.382390,1.215005,2.167385,2.087118,2.246131,0.681643,3186
ky,az,skip,3.690381,1.347707,2.342674,2.205267,2.475530,0.643636,3009
ky,fi,skip,4.070097,1.342827,2.727269,2.610986,2.843914,0.720702,3081
ky,kk,skip,2.927164,1.290523,1.636641,1.524165,1.741719,0.597871,2865
ky,ky,skip,1.305788,1.305788,0.000000,0.000000,0.000000,0.677025,3377
ky,tr,skip,3.466918,1.186999,2.279919,2.168042,2.388081,0.730641,3510
ky,ug,skip,3.460567,1.238809,2.221758,2.132388,2.305981,0.702614,3844
ky,uz,skip,3.632330,1.215005,2.417325,2.300855,2.533897,0.681643,3186
tr,az,skip,2.654663,1.347707,1.306956,1.188888,1.421423,0.643636,3009
tr,fi,skip,3.471057,1.342827,2.128230,2.016120,2.236524,0.720702,3081
tr,kk,skip,3.050598,1.290523,1.760074,1.669313,1.836519,0.597871,2865
tr,ky,skip,2.984559,1.305788,1.678771,1.572354,1.775334,0.677025,3377
tr,tr,skip,1.186999,1.186999,0.000000,0.000000,0.000000,0.730641,3510
tr,ug,skip,3.066758,1.238809,1.827950,1.721216,1.929152,0.702614,3844
tr,uz,skip,3.184336,1.215005,1.969331,1.875557,2.060591,0.681643,3186
ug,az,skip,3.166873,1.347707,1.819166,1.734491,1.902817,0.643636,3009
ug,fi,skip,3.821535,1.342827,2.478708,2.361946,2.594877,0.720702,3081
ug,kk,skip,3.371781,1.290523,2.081257,1.957265,2.209445,0.597871,2865
ug,ky,skip,3.195133,1.305788,1.889346,1.815240,1.967958,0.677025,3377
ug,tr,skip,3.442721,1.186999,2.255722,2.171482,2.350452,0.730641,3510
ug,ug,skip,1.238809,1.238809,0.000000,0.000000,0.000000,0.702614,3844
ug,uz,skip,3.147226,1.215005,1.932221,1.789470,2.068049,0.681643,3186
uz,az,skip,3.171380,1.347707,1.823673,1.741325,1.898974,0.643636,3009
uz,fi,skip,3.541833,1.342827,2.199005,2.106334,2.295270,0.720702,3081
uz,kk,skip,3.150152,1.290523,1.859629,1.769905,1.944985,0.597871,2865
uz,ky,skip,3.274103,1.305788,1.968315,1.884907,2.050146,0.677025,3377
uz,tr,skip,3.345660,1.186999,2.158661,2.074766,2.245793,0.730641,3510
uz,ug,skip,2.599605,1.238809,1.360797,1.297833,1.416811,0.702614,3844
uz,uz,skip,1.215005,1.215005,0.000000,0.000000,0.000000,0.681643,3186
