listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,unk,2.111534,2.111534,0.000000,0.000000,0.000000,1.000000,4675
az,fi,unk,7.888304,2.423586,5.464717,5.155164,5.760260,1.000000,4275
az,kk,unk,10.867367,2.170774,8.696593,8.341921,9.026024,1.000000,4792
az,ky,unk,5.576296,2.112372,3.463924,3.100496,3.867159,1.000000,4988
az,tr,unk,3.665503,1.899054,1.766449,1.662078,1.890762,1.000000,4804
az,ug,unk,5.708607,1.773972,3.934636,3.660023,4.225533,1.000000,5471
az,uz,unk,10.612072,1.978512,8.633560,8.213821,9.020750,1.000000,4674
fi,az,unk,7.278961,2.111534,5.167427,4.947365,5.384205,1.000000,4675
fi,fi,unk,2.423586,2.423586,0.000000,0.000000,0.000000,1.000000,4275
fi,kk,unk,9.661028,2.170774,7.490254,7.213014,7.752534,1.000000,4792
fi,ky,unk,7.053424,2.112372,4.941052,4.698626,5.169720,1.000000,4988
fi,tr,unk,6.949370,1.899054,5.050316,4.652180,5.431827,1.000000,4804
fi,ug,unk,6.463865,1.773972,4.689893,4.503299,4.889338,1.000000,5471
fi,uz,unk,9.935055,1.978512,7.956543,7.677726,8.207786,1.000000,4674
kk,az,unk,6.369036,2.111534,4.257502,3.981891,4.577194,1.000000,4675
kk,fi,unk,6.702215,2.423586,4.278629,4.066002,4.466136,1.000000,4275
kk,kk,unk,2.170774,2.170774,0.000000,0.000000,0.000000,1.000000,4792
kk,ky,unk,6.789984,2.112372,4.677612,4.211950,5.104902,1.000000,4988
kk,tr,unk,5.708017,1.899054,3.808963,3.449660,4.161493,1.000000,4804
kk,ug,unk,4.327050,1.773972,2.553079,2.372101,2.728569,1.000000,5471
kk,uz,unk,9.218334,1.978512,7.239822,6.853525,7.582403,1.000000,4674
ky,az,unk,7.690009,2.111534,5.578475,5.258461,5.892243,1.000000,4675
ky,fi,unk,7.481506,2.423586,5.057920,4.813086,5.302676,1.000000,4275
ky,kk,unk,7.872490,2.170774,5.701717,5.398236,5.990049,1.000000,4792
ky,ky,unk,2.112372,2.112372,0.000000,0.000000,0.000000,1.000000,4988
ky,tr,unk,4.020745,1.899054,2.121691,1.997514,2.244386,1.000000,4804
ky,ug,unk,6.339662,1.773972,4.565690,4.251299,4.865286,1.000000,5471
ky,uz,unk,9.674854,1.978512,7.696342,7.251372,8.110560,1.000000,4674
tr,az,unk,7.093312,2.111534,4.981778,4.617928,5.304717,1.000000,4675
tr,fi,unk,6.859097,2.423586,4.435511,4.212522,4.655673,1.000000,4275
tr,kk,unk,10.264867,2.170774,8.094093,7.845965,8.349921,1.000000,4792
tr,ky,unk,4.003383,2.112372,1.891011,1.743045,2.037747,1.000000,4988
tr,tr,unk,1.899054,1.899054,0.000000,0.000000,0.000000,1.000000,4804
tr,ug,unk,7.490509,1.773972,5.716537,5.501516,5.937414,1.000000,5471
tr,uz,unk,10.096095,1.978512,8.117583,7.732020,8.469365,1.000000,4674
ug,az,unk,5.695005,2.111534,3.583471,3.334548,3.839965,1.000000,4675
ug,fi,unk,7.509393,2.423586,5.085807,4.796238,5.380032,1.000000,4275
ug,kk,unk,8.716598,2.170774,6.545825,6.277867,6.797121,1.000000,4792
ug,ky,unk,5.871234,2.112372,3.758862,3.532463,3.941622,1.000000,4988
ug,tr,unk,5.549777,1.899054,3.650723,3.356369,3.927950,1.000000,4804
ug,ug,unk,1.773972,1.773972,0.000000,0.000000,0.000000,1.000000,5471
ug,uz,unk,8.850451,1.978512,6.871939,6.511417,7.197941,1.000000,4674
uz,az,unk,10.308458,2.111534,8.196924,8.005312,8.383909,1.000000,4675
uz,fi,unk,10.779449,2.423586,8.355863,8.030560,8.636220,1.000000,4275
uz,kk,unk,11.313154,2.170774,9.142381,8.854314,9.423346,1.000000,4792
uz,ky,unk,9.108623,2.112372,6.996251,6.722433,7.271619,1.000000,4988
uz,tr,unk,8.046633,1.899054,6.147579,5.781285,6.471213,1.000000,4804
uz,ug,unk,7.874122,1.773972,6.100151,5.839168,6.394665,1.000000,5471
uz,uz,unk,1.978512,1.978512,0.000000,0.000000,0.000000,1.000000,4674
