listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,skip,1.301398,1.301398,0.000000,0.000000,0.000000,0.712513,3331
az,tr,skip,2.871496,1.137718,1.733778,1.655072,1.815108,0.813489,3908
az,ug,skip,3.241761,1.241288,2.000473,1.919308,2.085819,0.770974,4218
az,uz,skip,3.613517,1.204372,2.409145,2.313969,2.506998,0.756953,3538
tr,az,skip,2.598755,1.301398,1.297357,1.166265,1.417474,0.712513,3331
tr,tr,skip,1.137718,1.137718,0.000000,0.000000,0.000000,0.813489,3908
tr,ug,skip,3.131059,1.241288,1.889772,1.794059,1.980736,0.770974,4218
tr,uz,skip,3.282415,1.204372,2.078042,2.005110,2.149567,0.756953,3538
ug,az,skip,3.115378,1.301398,1.813980,1.722463,1.904379,0.712513,3331
ug,tr,skip,3.370207,1.137718,2.232489,2.147518,2.327824,0.813489,3908
ug,ug,skip,1.241288,1.241288,0.000000,0.000000,0.000000,0.770974,4218
ug,uz,skip,3.120708,1.204372,1.916336,1.793482,2.042289,0.756953,3538
uz,az,skip,3.145749,1.301398,1.844351,1.767064,1.916806,0.712513,3331
uz,tr,skip,3.292490,1.137718,2.154772,2.081321,2.226756,0.813489,3908
uz,ug,skip,2.594643,1.241288,1.353355,1.289536,1.406919,0.770974,4218
uz,uz,skip,1.204372,1.204372,0.000000,0.000000,0.000000,0.756953,3538
