language_a,language_b,scoring_mode,excess_a_reading_b,excess_b_reading_a,difference,difference_confidence_interval_low,difference_confidence_interval_high,interval_excludes_zero
az,fi,skip,2.388422,2.204901,0.183521,0.034688,0.334232,yes
az,kk,skip,2.367763,2.087543,0.280220,0.128914,0.433861,yes
az,ky,skip,2.089755,2.181601,-0.091845,-0.250767,0.071364,no
az,tr,skip,1.679708,1.304985,0.374723,0.236199,0.518916,yes
az,ug,skip,2.005612,1.817920,0.187692,0.065754,0.297278,yes
az,uz,skip,2.371899,1.822053,0.549845,0.412749,0.703366,yes
fi,kk,skip,1.908570,2.220023,-0.311453,-0.416430,-0.196771,yes
fi,ky,skip,2.061656,2.508466,-0.446810,-0.567940,-0.320849,yes
fi,tr,skip,2.119535,2.128230,-0.008695,-0.138291,0.128218,no
fi,ug,skip,2.108474,2.478708,-0.370234,-0.524002,-0.216580,yes
fi,uz,skip,2.181497,2.199005,-0.017508,-0.161779,0.108430,no
kk,ky,skip,1.728361,1.327764,0.400597,0.241965,0.547691,yes
kk,tr,skip,2.140302,1.785078,0.355224,0.235208,0.470335,yes
kk,ug,skip,2.004517,2.099348,-0.094831,-0.228797,0.045659,no
kk,uz,skip,2.193071,1.877811,0.315260,0.188831,0.451098,yes
ky,tr,skip,2.193363,1.723896,0.469467,0.340982,0.603374,yes
ky,ug,skip,2.007891,1.920012,0.087879,-0.035568,0.201834,no
ky,uz,skip,2.088463,1.978814,0.109649,-0.018889,0.241293,no
tr,ug,skip,1.789254,2.161820,-0.372565,-0.510902,-0.241693,yes
tr,uz,skip,1.961243,2.064329,-0.103086,-0.230465,0.017428,no
ug,uz,skip,1.920578,1.330207,0.590371,0.438717,0.740537,yes
