listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,assimilate,1.078705,1.078705,0.000000,0.000000,0.000000,1.000000,4676
az,kk,assimilate,5.067551,1.652590,3.414961,3.211371,3.642671,1.000000,4797
az,ky,assimilate,3.848895,1.162928,2.685967,2.493663,2.893672,1.000000,4856
az,tr,assimilate,2.827890,1.082437,1.745453,1.619882,1.869152,1.000000,4854
az,ug,assimilate,3.642496,1.279903,2.362592,2.251749,2.471635,1.000000,5523
az,uz,assimilate,4.272809,1.173343,3.099466,2.950575,3.260789,1.000000,4681
fi,az,assimilate,4.585388,1.078705,3.506682,3.356382,3.671896,1.000000,4676
fi,kk,assimilate,3.435785,1.652590,1.783195,1.708324,1.848935,1.000000,4797
fi,ky,assimilate,4.065782,1.162928,2.902853,2.739204,3.073524,1.000000,4856
fi,tr,assimilate,4.347453,1.082437,3.265016,3.074471,3.445174,1.000000,4854
fi,ug,assimilate,4.082652,1.279903,2.802748,2.621556,2.997592,1.000000,5523
fi,uz,assimilate,4.605120,1.173343,3.431778,3.267607,3.581943,1.000000,4681
kk,az,assimilate,3.986070,1.078705,2.907365,2.792654,3.025498,1.000000,4676
kk,kk,assimilate,1.652590,1.652590,0.000000,0.000000,0.000000,1.000000,4797
kk,ky,assimilate,4.281020,1.162928,3.118092,2.852825,3.402482,1.000000,4856
kk,tr,assimilate,4.071242,1.082437,2.988805,2.822625,3.151995,1.000000,4854
kk,ug,assimilate,3.595411,1.279903,2.315508,2.223209,2.415589,1.000000,5523
kk,uz,assimilate,3.776930,1.173343,2.603587,2.518936,2.687367,1.000000,4681
ky,az,assimilate,3.575966,1.078705,2.497261,2.400689,2.588209,1.000000,4676
ky,kk,assimilate,5.592705,1.652590,3.940115,3.772173,4.090685,1.000000,4797
ky,ky,assimilate,1.162928,1.162928,0.000000,0.000000,0.000000,1.000000,4856
ky,tr,assimilate,3.265451,1.082437,2.183015,2.079755,2.281133,1.000000,4854
ky,ug,assimilate,3.821117,1.279903,2.541213,2.471923,2.617731,1.000000,5523
ky,uz,assimilate,3.711611,1.173343,2.538268,2.457568,2.616382,1.000000,4681
tr,az,assimilate,4.407540,1.078705,3.328834,3.097226,3.543880,1.000000,4676
tr,kk,assimilate,4.036319,1.652590,2.383729,2.282697,2.483644,1.000000,4797
tr,ky,assimilate,3.191903,1.162928,2.028975,1.938416,2.122835,1.000000,4856
tr,tr,assimilate,1.082437,1.082437,0.000000,0.000000,0.000000,1.000000,4854
tr,ug,assimilate,4.314188,1.279903,3.034285,2.892634,3.176160,1.000000,5523
tr,uz,assimilate,5.340735,1.173343,4.167392,3.942168,4.381421,1.000000,4681
ug,az,assimilate,3.293378,1.078705,2.214673,2.110272,2.320369,1.000000,4676
ug,kk,assimilate,4.562642,1.652590,2.910052,2.811456,3.012080,1.000000,4797
ug,ky,assimilate,3.867890,1.162928,2.704962,2.525978,2.907211,1.000000,4856
ug,tr,assimilate,3.695183,1.082437,2.612746,2.457859,2.762811,1.000000,4854
ug,ug,assimilate,1.279903,1.279903,0.000000,0.000000,0.000000,1.000000,5523
ug,uz,assimilate,3.345947,1.173343,2.172605,2.098228,2.248721,1.000000,4681
uz,az,assimilate,6.877679,1.078705,5.798974,5.610547,5.981451,1.000000,4676
uz,kk,assimilate,7.802375,1.652590,6.149785,5.830330,6.458219,1.000000,4797
uz,ky,assimilate,6.682955,1.162928,5.520027,5.296780,5.752015,1.000000,4856
uz,tr,assimilate,6.130846,1.082437,5.048409,4.821632,5.265067,1.000000,4854
uz,ug,assimilate,6.033524,1.279903,4.753620,4.554032,4.955970,1.000000,5523
uz,uz,assimilate,1.173343,1.173343,0.000000,0.000000,0.000000,1.000000,4681
