listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,skip,1.204327,1.204327,0.000000,0.000000,0.000000,0.665954,3114
az,fi,skip,3.612062,1.319037,2.293025,2.197706,2.392417,0.747602,3196
az,kk,skip,3.454761,1.265666,2.189095,2.099549,2.277344,0.621430,2981
az,ky,skip,3.211559,1.249343,1.962215,1.898664,2.021836,0.702913,3523
az,tr,skip,2.761044,1.225073,1.535971,1.439693,1.616630,0.743717,3610
az,ug,skip,3.099144,1.316998,1.782146,1.691960,1.874154,0.718450,3968
az,uz,skip,3.760975,1.186732,2.574243,2.441392,2.706249,0.701773,3285
fi,az,skip,3.642638,1.204327,2.438311,2.329696,2.543067,0.665954,3114
fi,fi,skip,1.319037,1.319037,0.000000,0.000000,0.000000,0.747602,3196
fi,kk,skip,3.381549,1.265666,2.115883,2.036301,2.200209,0.621430,2981
fi,ky,skip,3.464088,1.249343,2.214745,2.159235,2.264394,0.702913,3523
fi,tr,skip,3.422566,1.225073,2.197494,2.118394,2.275139,0.743717,3610
fi,ug,skip,3.561205,1.316998,2.244207,2.153904,2.341584,0.718450,3968
fi,uz,skip,3.737305,1.186732,2.550574,2.463849,2.631170,0.701773,3285
kk,az,skip,3.538560,1.204327,2.334232,2.252931,2.407862,0.665954,3114
kk,fi,skip,3.691999,1.319037,2.372962,2.285312,2.466858,0.747602,3196
kk,kk,skip,1.265666,1.265666,0.000000,0.000000,0.000000,0.621430,2981
kk,ky,skip,3.133757,1.249343,1.884414,1.816534,1.941542,0.702913,3523
kk,tr,skip,3.423761,1.225073,2.198688,2.124393,2.274946,0.743717,3610
kk,ug,skip,3.311519,1.316998,1.994521,1.923544,2.062040,0.718450,3968
kk,uz,skip,3.538872,1.186732,2.352140,2.264226,2.445548,0.701773,3285
ky,az,skip,3.657675,1.204327,2.453348,2.317905,2.588920,0.665954,3114
ky,fi,skip,4.005359,1.319037,2.686322,2.563689,2.812093,0.747602,3196
ky,kk,skip,2.896757,1.265666,1.631091,1.530780,1.724142,0.621430,2981
ky,ky,skip,1.249343,1.249343,0.000000,0.000000,0.000000,0.702913,3523
ky,tr,skip,3.372091,1.225073,2.147019,2.062198,2.240454,0.743717,3610
ky,ug,skip,3.421545,1.316998,2.104546,1.986510,2.223454,0.718450,3968
ky,uz,skip,3.448746,1.186732,2.262014,2.141553,2.374849,0.701773,3285
tr,az,skip,2.694026,1.204327,1.489699,1.367528,1.605620,0.665954,3114
tr,fi,skip,3.376634,1.319037,2.057597,1.971581,2.146053,0.747602,3196
tr,kk,skip,3.235701,1.265666,1.970035,1.893383,2.050523,0.621430,2981
tr,ky,skip,3.105291,1.249343,1.855948,1.780252,1.926637,0.702913,3523
tr,tr,skip,1.225073,1.225073,0.000000,0.000000,0.000000,0.743717,3610
tr,ug,skip,3.079929,1.316998,1.762931,1.679376,1.853979,0.718450,3968
tr,uz,skip,3.610212,1.186732,2.423480,2.296795,2.555441,0.701773,3285
ug,az,skip,3.227252,1.204327,2.022924,1.927718,2.110307,0.665954,3114
ug,fi,skip,4.014965,1.319037,2.695928,2.606857,2.787149,0.747602,3196
ug,kk,skip,3.269034,1.265666,2.003368,1.895733,2.112628,0.621430,2981
ug,ky,skip,3.327107,1.249343,2.077764,1.997456,2.155816,0.702913,3523
ug,tr,skip,3.478532,1.225073,2.253459,2.159788,2.339091,0.743717,3610
ug,ug,skip,1.316998,1.316998,0.000000,0.000000,0.000000,0.718450,3968
ug,uz,skip,2.967969,1.186732,1.781237,1.669053,1.888723,0.701773,3285
uz,az,skip,3.434078,1.204327,2.229751,2.149468,2.305429,0.665954,3114
uz,fi,skip,3.818381,1.319037,2.499344,2.404027,2.595337,0.747602,3196
uz,kk,skip,3.437771,1.265666,2.172105,2.109961,2.241845,0.621430,2981
uz,ky,skip,3.511353,1.249343,2.262009,2.199710,2.327420,0.702913,3523
uz,tr,skip,3.462237,1.225073,2.237165,2.170402,2.295184,0.743717,3610
uz,ug,skip,2.779466,1.316998,1.462468,1.376425,1.557422,0.718450,3968
uz,uz,skip,1.186732,1.186732,0.000000,0.000000,0.000000,0.701773,3285
