listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,unk,1.078705,1.078705,0.000000,0.000000,0.000000,1.000000,4676
az,kk,unk,8.191880,1.652590,6.539290,6.257430,6.802091,1.000000,4797
az,ky,unk,4.367598,1.162928,3.204670,2.910377,3.547206,1.000000,4856
az,tr,unk,2.914886,1.082437,1.832449,1.696259,1.963015,1.000000,4854
az,ug,unk,4.718718,1.279903,3.438815,3.237598,3.657598,1.000000,5523
az,uz,unk,8.365317,1.173343,7.191974,6.866187,7.500958,1.000000,4681
fi,az,unk,6.670713,1.078705,5.592008,5.348632,5.821458,1.000000,4676
fi,kk,unk,9.173322,1.652590,7.520732,7.144880,7.845082,1.000000,4797
fi,ky,unk,5.987305,1.162928,4.824376,4.584619,5.071939,1.000000,4856
fi,tr,unk,6.325131,1.082437,5.242694,4.844184,5.625911,1.000000,4854
fi,ug,unk,5.924458,1.279903,4.644555,4.467684,4.830236,1.000000,5523
fi,uz,unk,9.695650,1.173343,8.522308,8.192347,8.826527,1.000000,4681
kk,az,unk,4.746364,1.078705,3.667659,3.465654,3.887951,1.000000,4676
kk,kk,unk,1.652590,1.652590,0.000000,0.000000,0.000000,1.000000,4797
kk,ky,unk,5.316899,1.162928,4.153971,3.866421,4.423692,1.000000,4856
kk,tr,unk,5.038211,1.082437,3.955774,3.568902,4.316579,1.000000,4854
kk,ug,unk,3.595411,1.279903,2.315508,2.223209,2.415589,1.000000,5523
kk,uz,unk,4.737825,1.173343,3.564482,3.418512,3.729389,1.000000,4681
ky,az,unk,6.616039,1.078705,5.537334,5.238333,5.831309,1.000000,4676
ky,kk,unk,5.826879,1.652590,4.174289,3.985172,4.347631,1.000000,4797
ky,ky,unk,1.162928,1.162928,0.000000,0.000000,0.000000,1.000000,4856
ky,tr,unk,3.265451,1.082437,2.183015,2.079755,2.281133,1.000000,4854
ky,ug,unk,5.737113,1.279903,4.457210,4.170154,4.727159,1.000000,5523
ky,uz,unk,4.822555,1.173343,3.649213,3.471801,3.834585,1.000000,4681
tr,az,unk,4.694599,1.078705,3.615894,3.373174,3.829226,1.000000,4676
tr,kk,unk,6.975749,1.652590,5.323159,5.069614,5.589120,1.000000,4797
tr,ky,unk,3.479771,1.162928,2.316843,2.181916,2.459575,1.000000,4856
tr,tr,unk,1.082437,1.082437,0.000000,0.000000,0.000000,1.000000,4854
tr,ug,unk,5.033364,1.279903,3.753460,3.620213,3.868750,1.000000,5523
tr,uz,unk,8.336078,1.173343,7.162736,6.816426,7.497476,1.000000,4681
ug,az,unk,4.539370,1.078705,3.460665,3.231451,3.702774,1.000000,4676
ug,kk,unk,6.716653,1.652590,5.064063,4.784334,5.350346,1.000000,4797
ug,ky,unk,5.349993,1.162928,4.187064,3.945719,4.406117,1.000000,4856
ug,tr,unk,4.907132,1.082437,3.824696,3.491721,4.154169,1.000000,4854
ug,ug,unk,1.279903,1.279903,0.000000,0.000000,0.000000,1.000000,5523
ug,uz,unk,4.396428,1.173343,3.223085,3.054774,3.389331,1.000000,4681
uz,az,unk,8.341982,1.078705,7.263277,7.027859,7.534026,1.000000,4676
uz,kk,unk,9.455115,1.652590,7.802525,7.517928,8.073221,1.000000,4797
uz,ky,unk,8.594942,1.162928,7.432014,7.115509,7.704462,1.000000,4856
uz,tr,unk,7.482025,1.082437,6.399588,5.983786,6.781165,1.000000,4854
uz,ug,unk,6.250374,1.279903,4.970471,4.792316,5.168336,1.000000,5523
uz,uz,unk,1.173343,1.173343,0.000000,0.000000,0.000000,1.000000,4681
