listener_language,text_language,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,1.130271,1.130271,0.000000,0.000000,0.000000,0.693114,3241
az,fi,3.355949,1.287180,2.068769,1.998084,2.137725,0.746886,3178
az,kk,3.286820,1.760457,1.526362,1.438337,1.614535,0.646863,3103
az,ky,3.114760,1.202403,1.912357,1.846092,1.975793,0.738880,3588
az,tr,2.678476,1.122453,1.556023,1.467935,1.635369,0.767408,3725
az,ug,2.963737,1.272128,1.691608,1.624092,1.765383,0.757378,4183
az,uz,3.263964,1.177516,2.086448,1.992552,2.183384,0.751762,3519
fi,az,3.794339,1.130271,2.664068,2.540636,2.775846,0.693114,3241
fi,fi,1.287180,1.287180,0.000000,0.000000,0.000000,0.746886,3178
fi,kk,3.427212,1.760457,1.666755,1.590735,1.741228,0.646863,3103
fi,ky,3.615864,1.202403,2.413461,2.344256,2.473763,0.738880,3588
fi,tr,3.560629,1.122453,2.438176,2.343985,2.527176,0.767408,3725
fi,ug,3.712225,1.272128,2.440097,2.315111,2.567377,0.757378,4183
fi,uz,3.910673,1.177516,2.733157,2.613329,2.855065,0.751762,3519
kk,az,3.381687,1.130271,2.251415,2.145844,2.338718,0.693114,3241
kk,fi,3.605584,1.287180,2.318404,2.241072,2.392198,0.746886,3178
kk,kk,1.760457,1.760457,0.000000,0.000000,0.000000,0.646863,3103
kk,ky,3.183984,1.202403,1.981581,1.909863,2.047523,0.738880,3588
kk,tr,3.385347,1.122453,2.262894,2.172987,2.362037,0.767408,3725
kk,ug,3.329202,1.272128,2.057074,1.979420,2.136251,0.757378,4183
kk,uz,3.490707,1.177516,2.313191,2.214450,2.410638,0.751762,3519
ky,az,3.788675,1.130271,2.658404,2.535708,2.778546,0.693114,3241
ky,fi,3.796668,1.287180,2.509488,2.409060,2.614321,0.746886,3178
ky,kk,2.951443,1.760457,1.190986,1.114994,1.255379,0.646863,3103
ky,ky,1.202403,1.202403,0.000000,0.000000,0.000000,0.738880,3588
ky,tr,3.230374,1.122453,2.107921,2.025455,2.192818,0.767408,3725
ky,ug,3.517783,1.272128,2.245654,2.106037,2.375941,0.757378,4183
ky,uz,3.459871,1.177516,2.282355,2.168981,2.398488,0.751762,3519
tr,az,2.496417,1.130271,1.366145,1.244689,1.475201,0.693114,3241
tr,fi,3.364389,1.287180,2.077209,1.992437,2.160012,0.746886,3178
tr,kk,3.178122,1.760457,1.417665,1.342628,1.491364,0.646863,3103
tr,ky,3.151646,1.202403,1.949243,1.869120,2.025714,0.738880,3588
tr,tr,1.122453,1.122453,0.000000,0.000000,0.000000,0.767408,3725
tr,ug,3.057397,1.272128,1.785269,1.702871,1.872833,0.757378,4183
tr,uz,3.500806,1.177516,2.323290,2.224565,2.431430,0.751762,3519
ug,az,3.265819,1.130271,2.135548,2.035064,2.232737,0.693114,3241
ug,fi,3.907311,1.287180,2.620130,2.507186,2.731688,0.746886,3178
ug,kk,3.489924,1.760457,1.729467,1.627569,1.824722,0.646863,3103
ug,ky,3.308310,1.202403,2.105906,2.010830,2.200782,0.738880,3588
ug,tr,3.454755,1.122453,2.332302,2.232958,2.430672,0.767408,3725
ug,ug,1.272128,1.272128,0.000000,0.000000,0.000000,0.757378,4183
ug,uz,3.032834,1.177516,1.855319,1.735174,1.967599,0.751762,3519
uz,az,3.324732,1.130271,2.194461,2.113490,2.268682,0.693114,3241
uz,fi,3.680337,1.287180,2.393157,2.267848,2.515928,0.746886,3178
uz,kk,3.442643,1.760457,1.682186,1.605278,1.763140,0.646863,3103
uz,ky,3.508797,1.202403,2.306394,2.220405,2.390608,0.738880,3588
uz,tr,3.332166,1.122453,2.209713,2.149885,2.267742,0.767408,3725
uz,ug,2.774047,1.272128,1.501919,1.408808,1.603472,0.757378,4183
uz,uz,1.177516,1.177516,0.000000,0.000000,0.000000,0.751762,3519
