src,tgt,full_ce,in_vocab_ce,coverage,n_tokens,n_in_vocab
az,az,1.336775,1.336775,1.000000,4948,4948
az,kk,8.804103,5.309143,0.830778,5023,4173
az,ky,5.735946,4.304893,0.937121,4946,4635
az,tr,5.760692,3.427857,0.907386,5118,4644
az,ug,5.683261,3.781726,0.916996,5819,5336
az,uz,8.648637,4.503335,0.810026,4927,3991
fi,az,7.472734,4.063465,0.843169,4948,4172
fi,kk,8.110255,4.839147,0.837149,5023,4205
fi,ky,5.771894,3.667128,0.905580,4946,4479
fi,tr,9.781577,4.495880,0.748144,5118,3829
fi,ug,5.847416,3.756843,0.905310,5819,5268
fi,uz,9.230708,4.536635,0.771260,4927,3800
kk,az,6.305857,4.267869,0.905821,4948,4482
kk,kk,1.840217,1.840217,1.000000,5023,5023
kk,ky,5.497986,4.229591,0.943186,4946,4665
kk,tr,6.500368,4.397073,0.906018,5118,4637
kk,ug,4.047917,4.039354,0.999656,5819,5817
kk,uz,5.062036,4.262870,0.964278,4927,4751
ky,az,8.403570,4.572731,0.830437,4948,4109
ky,kk,5.541562,5.382173,0.992037,5023,4983
ky,ky,1.402327,1.402327,1.000000,4946,4946
ky,tr,6.285277,4.383082,0.921649,5118,4717
ky,ug,6.287436,4.255452,0.913215,5819,5314
ky,uz,5.531516,5.210346,0.986401,4927,4860
tr,az,6.847293,4.892400,0.910267,4948,4504
tr,kk,9.986346,5.187635,0.750149,5023,3768
tr,ky,7.325807,3.795521,0.840477,4946,4157
tr,tr,1.285673,1.285673,1.000000,5118,5118
tr,ug,7.638480,4.731965,0.860973,5819,5010
tr,uz,5.589164,3.436360,0.905622,4927,4462
ug,az,5.816942,3.530998,0.905821,4948,4482
ug,kk,6.218236,4.458990,0.923950,5023,4641
ug,ky,5.577897,3.624149,0.920137,4946,4551
ug,tr,6.330464,3.867599,0.893513,5118,4573
ug,ug,1.679596,1.403416,0.990205,5819,5762
ug,uz,4.320559,4.320559,1.000000,4927,4927
uz,az,8.776613,5.146424,0.811237,4948,4014
uz,kk,8.614321,5.316919,0.830978,5023,4174
uz,ky,8.292899,4.767038,0.819450,4946,4053
uz,tr,5.900827,3.475082,0.891950,5118,4565
uz,ug,6.373867,4.355161,0.908232,5819,5285
uz,uz,1.337859,1.337859,1.000000,4927,4927
